factor_0,factor_1,factor_2,factor_3,factor_4,factor_5,factor_6,factor_7,factor_8,factor_9,CUST_CODE
0.027952353,0.022420932,0.05653184,0.019602826,0.019211512,0.006839511,0.011217145,0.01862261,-0.0006035498,0.011415718,CUST0000034450
0.12723567,0.030985374,0.07793366,0.13531372,0.061190557,0.10083409,0.08503396,0.057449453,0.23825012,0.09005641,CUST0000035935
0.00010725764,0.00033066646,-3.825143e-05,0.00047026642,-0.00021802488,0.0006294836,0.00047280712,-0.0006509535,0.00048707498,0.0006199086,CUST0000036781
0.012903666,0.034766607,0.103865795,-0.0017634665,0.04357857,0.03911825,0.07889861,0.02353324,0.018818498,0.027052077,CUST0000036792
0.006905634,0.06310501,0.007385977,0.02786918,0.037216216,0.025387207,0.07242353,0.050673537,0.08748242,0.05801058,CUST0000037150
-0.02707651,0.060821775,0.13304211,-0.028225692,0.14275602,-0.025260748,0.07879337,0.034478866,0.076388374,0.058501307,CUST0000037542
0.0015823159,0.14920507,0.088202514,-0.06272744,0.07663692,-0.023443539,0.15824069,0.1585619,0.11687885,0.11068053,CUST0000037746
-0.0022714338,-0.0007689753,0.0008717535,0.001988706,0.004308172,0.004179521,0.0022273324,0.004299354,0.003588033,0.0021177605,CUST0000037843
0.002075867,0.001174141,-0.0010187158,0.0009832754,0.00022160937,0.0007863096,0.0001556296,0.0010278735,-5.039032e-05,0.00076891074,CUST0000038037
0.045492046,0.049549986,0.016474767,0.033361685,0.03323454,0.035284743,0.04630822,0.051993076,-0.012803789,0.04005138,CUST0000038162
0.0025675255,0.0018484766,-3.7267226e-05,-1.1596264e-05,-0.00047677604,-0.0019012969,0.0014312706,0.00063937635,-5.7502975e-06,-0.00046612174,CUST0000038166
0.0033539487,0.0034239113,0.0019767617,0.0037860689,0.008064384,0.016121717,0.00090428314,0.008679699,0.007939629,0.01159193,CUST0000038793
0.03692173,0.03601639,-0.013400112,0.015023184,0.004410938,0.02380965,-0.0008951149,0.045033198,0.017703917,0.014902889,CUST0000039024
0.06454975,0.025924996,0.03400704,0.046733204,0.01839507,0.08591081,0.0036178823,0.009914815,0.0013954584,0.02459458,CUST0000039202
0.012104202,0.07400002,0.124843374,-0.024813233,0.051893014,0.053804994,0.011803163,-0.0018518976,0.13773844,0.1327265,CUST0000039473
-0.059839346,0.0784882,0.18089399,0.015139176,0.13842554,-0.046136208,0.21969454,0.036202304,0.08442563,0.14728926,CUST0000039589
-0.013518767,0.08493855,0.0030253513,0.08879395,0.022689367,0.07382453,0.10384423,0.0943402,0.036427036,-0.0029498471,CUST0000039828
0.00091408484,0.00092244014,0.004160718,0.0012908007,7.526083e-05,0.0018185241,0.00078880857,0.0014338543,0.00073825364,0.0019646012,CUST0000039924
-0.0011512651,0.009862237,0.018855229,-0.0014149571,0.01045129,0.0068699513,0.01132262,0.01109165,0.0063064215,0.0049610357,CUST0000040270
