factor_0,factor_1,factor_2,factor_3,factor_4,factor_5,factor_6,factor_7,factor_8,factor_9,PROD_CODE
-0.0050393175,0.015378341,0.01518494,-0.008644795,0.02169213,0.008135903,0.009328666,0.0064943484,0.000107466985,0.0046067713,PRD0900314
0.073843114,0.08605444,0.15574083,0.050172087,-0.0739671,0.13761045,0.0028169495,-0.0040466143,-0.021528263,0.07739412,PRD0900336
0.13041227,0.03399118,-0.033450656,0.053100955,0.08076729,0.16580921,-0.0071532303,0.008674864,0.0053172535,0.0073863147,PRD0900395
0.07415103,0.07706821,-0.014504788,0.12647228,0.025391193,-0.016778734,-0.06754552,-0.0032288851,-0.020519938,0.06390317,PRD0900532
0.06911395,0.014578761,0.008204797,0.013690099,0.080041565,0.052012295,0.051797472,-0.086423114,0.054624543,0.039948918,PRD0900547
0.01068842,0.047332525,0.06387062,0.04341804,0.0017380961,0.07158367,-0.012272979,0.022024825,-0.054649126,0.08099036,PRD0900559
0.069198616,0.049370214,0.04011236,-0.04446042,0.022106051,0.011370659,0.074894734,0.033412453,0.01968925,0.0697792,PRD0900597
0.026874386,0.02579904,0.080898196,0.008712126,0.06631451,0.015550617,0.08274391,0.033180617,-0.0043312716,-0.0056537758,PRD0900602
0.023563508,0.062462587,0.03722664,0.01601783,0.031203417,-0.039057307,0.025323467,0.018597454,0.028505437,-0.057553593,PRD0900644
0.009505656,-0.0031671755,0.04594829,0.032685768,-0.0054975064,0.08782876,0.02333626,0.041121684,0.09728405,0.07213969,PRD0900653
0.06997173,-0.0022664974,-0.025085578,-0.0023717782,0.054802645,0.12446952,-0.026573548,-0.023574652,-0.014789323,0.0102247475,PRD0900688
0.081516676,0.08283853,0.0132946,0.10799391,0.09270761,0.17584732,0.09487706,0.037376344,-0.0052059004,-0.015578177,PRD0900692
